NotificationDate,Issuer,NotifyingParty,CapitalInterestBefore,CapitalInterestAfter
2026-03-17,Pharming Group N.V.,Bank of America Corporation,,
2026-03-17,ARCADIS N.V.,Bank of America Corporation,,
2026-03-17,IMCD N.V.,Bank of America Corporation,,
2026-03-17,NN Group N.V.,UBS Group AG,,
2026-03-17,The Magnum Ice Cream Company N.V.,BlackRock Inc.,,
2026-03-17,Stellantis N.V.,BlackRock Inc.,,
2026-03-17,TomTom N.V.,BlackRock Inc.,,
2026-03-17,Basic-Fit N.V.,UBS Group AG,,
2026-03-17,Redcare Pharmacy N.V.,UBS Group AG,,
2026-03-17,ForFarmers N.V.,DWS Investment GmbH,,
2026-03-16,AEGON Ltd.,AEGON Ltd.,,
2026-03-16,Iveco Group N.V.,BlackRock Inc.,,
2026-03-16,Pharming Group N.V.,BlackRock Inc.,,
2026-03-16,Koninklijke BAM Groep N.V.,DWS Investment GmbH,,
2026-03-16,AMG Critical Materials N.V.,Van Eck Associates Corporation,,
2026-03-16,OCI N.V.,Goldman Sachs Group Inc.,,
2026-03-16,Alfen N.V.,Goldman Sachs Group Inc.,,
2026-03-16,Wolters Kluwer N.V.,UBS Group AG,,
2026-03-16,Redcare Pharmacy N.V.,UBS Group AG,,
2026-03-16,Basic-Fit N.V.,UBS Group AG,,
2026-03-16,ForFarmers N.V.,DWS Investment GmbH,,
2026-03-16,Flow Traders Ltd.,JP Morgan Chase & Co,,
2026-03-16,Akzo Nobel N.V.,Citigroup Inc.,,
2026-03-13,Pharming Group N.V.,BlackRock Inc.,,
2026-03-13,Iveco Group N.V.,BlackRock Inc.,,
2026-03-13,SBM Offshore N.V.,BlackRock Inc.,,
2026-03-13,Qiagen N.V.,BlackRock Inc.,,
2026-03-13,Koninklijke KPN N.V.,JP Morgan Asset Management Holdings Inc.,,
2026-03-13,SBM Offshore N.V.,JP Morgan Asset Management Holdings Inc.,,
2026-03-13,Redcare Pharmacy N.V.,UBS Group AG,,
2026-03-13,Allfunds Group plc,DWS Investment GmbH,,
2026-03-13,OCI N.V.,Verition Fund Management LLC,,
2026-03-13,Fugro N.V.,Goldman Sachs Group Inc.,,
2026-03-13,OCI N.V.,Goldman Sachs Group Inc.,,
2026-03-13,The Magnum Ice Cream Company N.V.,Bank of America Corporation,,
2026-03-12,IMCD N.V.,Norges Bank,,
2026-03-12,ING Groep N.V.,Norges Bank,,
2026-03-12,JDE Peet's N.V.,BlackRock Inc.,,
2026-03-12,Heineken N.V.,BlackRock Inc.,,
2026-03-12,TKH Group N.V.,BlackRock Inc.,,
2026-03-12,SBM Offshore N.V.,BlackRock Inc.,,
2026-03-12,The Magnum Ice Cream Company N.V.,Bank of America Corporation,,
2026-03-12,Universal Music Group N.V.,BlackRock Inc.,,
2026-03-12,Wolters Kluwer N.V.,Massachusetts Financial Services Company,,
2026-03-12,Fugro N.V.,Goldman Sachs Group Inc.,,
2026-03-12,ForFarmers N.V.,DWS Investment GmbH,,
2026-03-12,Redcare Pharmacy N.V.,Goldman Sachs Group Inc.,,
2026-03-12,Stellantis N.V.,Barclays Plc,,
2026-03-11,IMCD N.V.,Norges Bank,,
2026-03-11,AMG Critical Materials N.V.,BlackRock Inc.,,
